Name,Position,Club,Country of the club,_league,_source
Derek Cornelius,Obrońca,Olympique de Marseille,Francja,Ligue 1,sofascore
Conrad Jaden Egan-Riley,Obrońca,Olympique de Marseille,Francja,Ligue 1,sofascore
Ulisses Garcia,Obrońca,Olympique de Marseille,Francja,Ligue 1,sofascore
Bamo Meite,Obrońca,Olympique de Marseille,Francja,Ligue 1,sofascore
Hilan Hamzaoui Slimani,Obrońca,Olympique de Marseille,Francja,Ligue 1,flashscore~fuzzy
Alimami Gory,Napastnik,Paris FC,Francja,Ligue 1,sofascore
Omar Sissoko,Napastnik,Paris FC,Francja,Ligue 1,sofascore
Mohamed Benoit-Dao,Napastnik,Paris FC,Francja,Ligue 1,sofascore
El Hadary Ylan,Pomocnik,Paris FC,Francja,Ligue 1,sofascore
Pierre Lees Melou,Pomocnik,Paris FC,Francja,Ligue 1,sofascore
Andria Kvirikadze,Pomocnik,Paris FC,Francja,Ligue 1,sofascore
Moustapha Mbow,Obrońca,Paris FC,Francja,Ligue 1,sofascore
Randal Kolo Muani,Napastnik,Paris Saint-Germain,Francja,Ligue 1,sofascore
Quentin Ndjantou,Napastnik,Paris Saint-Germain,Francja,Ligue 1,sofascore
Renato Sanches,Pomocnik,Paris Saint-Germain,Francja,Ligue 1,sofascore
Yoram Zague,Obrońca,Paris Saint-Germain,Francja,Ligue 1,sofascore
Naoufel El Hannach,Obrońca,Paris Saint-Germain,Francja,Ligue 1,sofascore
Gabin Capuano,Napastnik,RC Lens,Francja,Ligue 1,sofascore
Jhoanner Chavez,Pomocnik,RC Lens,Francja,Ligue 1,sofascore
Jonathan Gradit,Obrońca,RC Lens,Francja,Ligue 1,sofascore
Cheick Kante,Napastnik,Stade Brestois,Francja,Ligue 1,sofascore
Axel Camblan,Pomocnik,Stade Brestois,Francja,Ligue 1,sofascore
Axel Lassus,Pomocnik,Stade Brestois,Francja,Ligue 1,sofascore
Elias Legendre Quinonez Zae,Napastnik,Stade Rennais,Francja,Ligue 1,flashscore~fuzzy
Seko Fofana,Pomocnik,Stade Rennais,Francja,Ligue 1,sofascore
Przemyslaw Frankowski,Pomocnik,Stade Rennais,Francja,Ligue 1,sofascore
Jordan James,Pomocnik,Stade Rennais,Francja,Ligue 1,sofascore
Ayanda Sishuba,Pomocnik,Stade Rennais,Francja,Ligue 1,sofascore
Rayan Bamba,Pomocnik,Stade Rennais,Francja,Ligue 1,sofascore
Jonathan Do Marcolino,Obrońca,Stade Rennais,Francja,Ligue 1,sofascore
Rayane Messi,Napastnik,RC Strasbourg,Francja,Ligue 1,sofascore
Oscar Perea,Napastnik,RC Strasbourg,Francja,Ligue 1,sofascore
Sekou Mara,Napastnik,RC Strasbourg,Francja,Ligue 1,sofascore
Maxi Oyedele,Pomocnik,RC Strasbourg,Francja,Ligue 1,sofascore
Pape Diop,Pomocnik,RC Strasbourg,Francja,Ligue 1,sofascore
Max Marechal,Pomocnik,RC Strasbourg,Francja,Ligue 1,sofascore
Saidou Sow,Obrońca,RC Strasbourg,Francja,Ligue 1,sofascore
Soumaila Coulibaly,Obrońca,RC Strasbourg,Francja,Ligue 1,sofascore
Abakar Sylla,Obrońca,RC Strasbourg,Francja,Ligue 1,sofascore
Jacen Russell Rowe,Napastnik,Toulouse,Francja,Ligue 1,sofascore
Wassim Dardake,Napastnik,Toulouse,Francja,Ligue 1,sofascore
Cristian Casseres Jr.,Pomocnik,Toulouse,Francja,Ligue 1,flashscore~fuzzy
Ylies Aradj,Obrońca,Toulouse,Francja,Ligue 1,sofascore
Gaetan Bakhouche,Obrońca,Toulouse,Francja,Ligue 1,flashscore~fuzzy
Alvaro Zamora,Pomocnik,Academico Viseu FC,Portugalia,Liga Portugal,sofascore
Nils Mortimer,Napastnik,Academico Viseu FC,Portugalia,Liga Portugal,flashscore~fuzzy
Simao Silva,Pomocnik,Academico Viseu FC,Portugalia,Liga Portugal,sofascore
Robinho,Obrońca,Academico Viseu FC,Portugalia,Liga Portugal,sofascore
Gu Costa,Obrońca,Academico Viseu FC,Portugalia,Liga Portugal,sofascore
Oluwakorede Osundina,Napastnik,Casa Pia,Portugalia,Liga Portugal,sofascore
Max Svensson,Napastnik,Casa Pia,Portugalia,Liga Portugal,sofascore
Raul Blanco,Pomocnik,Casa Pia,Portugalia,Liga Portugal,sofascore
Gabi Pereira,Pomocnik,Casa Pia,Portugalia,Liga Portugal,sofascore
Joao Goulart,Obrońca,Casa Pia,Portugalia,Liga Portugal,flashscore~fuzzy
Domingos Jose Gabriel Bandeira,Obrońca,Casa Pia,Portugalia,Liga Portugal,sofascore
Israel Salazar,Napastnik,Estoril Praia,Portugalia,Liga Portugal,sofascore
Fabricio Garcia,Napastnik,Estoril Praia,Portugalia,Liga Portugal,sofascore
Jandro Orellana,Pomocnik,Estoril Praia,Portugalia,Liga Portugal,sofascore
Tiago Brito,Pomocnik,Estoril Praia,Portugalia,Liga Portugal,sofascore
Tiago Parente,Obrońca,Estoril Praia,Portugalia,Liga Portugal,sofascore
Ismael Sierra Arnal,Obrońca,Estoril Praia,Portugalia,Liga Portugal,flashscore~fuzzy
Diogo Brasido,Obrońca,Estoril Praia,Portugalia,Liga Portugal,sofascore
Chilohem Onuoha,Napastnik,CF Estrela Amadora,Portugalia,Liga Portugal,sofascore
Eddy Doue,Pomocnik,CF Estrela Amadora,Portugalia,Liga Portugal,sofascore
Alisson Souza de Jesus,Napastnik,CF Estrela Amadora,Portugalia,Liga Portugal,flashscore~fuzzy
Kevin Hoog Jansson,Pomocnik,CF Estrela Amadora,Portugalia,Liga Portugal,flashscore~fuzzy
Issiar Drame,Obrońca,CF Estrela Amadora,Portugalia,Liga Portugal,sofascore
Rafa Soares,Obrońca,CF Estrela Amadora,Portugalia,Liga Portugal,sofascore
Atanas Chernev,Obrońca,CF Estrela Amadora,Portugalia,Liga Portugal,sofascore
Vivaldo,Napastnik,FC Alverca,Portugalia,Liga Portugal,sofascore
Junior Armando Mendes,Napastnik,FC Alverca,Portugalia,Liga Portugal,sofascore
Zakaria Kassary,Pomocnik,FC Alverca,Portugalia,Liga Portugal,sofascore
Lucca Giuntini,Pomocnik,FC Alverca,Portugalia,Liga Portugal,flashscore~fuzzy
Julian Jose Martinez,Obrońca,FC Alverca,Portugalia,Liga Portugal,flashscore~fuzzy
Vladislav Morozov,Napastnik,FC Arouca,Portugalia,Liga Portugal,sofascore
Miguel Puche,Napastnik,FC Arouca,Portugalia,Liga Portugal,sofascore
Javi Sanchez,Obrońca,FC Arouca,Portugalia,Liga Portugal,sofascore
Tom Van De Looi,Pomocnik,Famalicao,Portugalia,Liga Portugal,flashscore~fuzzy
Gustavo Garcia,Obrońca,Famalicao,Portugalia,Liga Portugal,sofascore
Leo Realpe,Obrońca,Famalicao,Portugalia,Liga Portugal,sofascore
Renan Santana,Obrońca,Famalicao,Portugalia,Liga Portugal,sofascore
Samu Aghehowa,Napastnik,FC Porto,Portugalia,Liga Portugal,sofascore
Gabriel Veron,Napastnik,FC Porto,Portugalia,Liga Portugal,sofascore
Mateus Mide,Napastnik,FC Porto,Portugalia,Liga Portugal,sofascore
Eduardo Ferreira,Napastnik,FC Porto,Portugalia,Liga Portugal,sofascore
Ivan Jaime,Pomocnik,FC Porto,Portugalia,Liga Portugal,sofascore
Vasco Sousa,Pomocnik,FC Porto,Portugalia,Liga Portugal,sofascore
Zaidu Sanusi,Obrońca,FC Porto,Portugalia,Liga Portugal,sofascore
Yoan Pereira,Obrońca,FC Porto,Portugalia,Liga Portugal,sofascore
Hector Hernandez,Napastnik,Gil Vicente,Portugalia,Liga Portugal,flashscore~fuzzy
Walace dos Santos Franca,Napastnik,Gil Vicente,Portugalia,Liga Portugal,flashscore~fuzzy
Mohamed Kaba,Napastnik,Gil Vicente,Portugalia,Liga Portugal,sofascore
Santi Garcia,Pomocnik,Gil Vicente,Portugalia,Liga Portugal,sofascore
Gil Martins,Pomocnik,Gil Vicente,Portugalia,Liga Portugal,flashscore~fuzzy
Sergio Bermejo,Pomocnik,Gil Vicente,Portugalia,Liga Portugal,sofascore
Goncalo Maia Pereira,Pomocnik,Gil Vicente,Portugalia,Liga Portugal,flashscore~fuzzy
Marvin Elimbi Gilbert,Obrońca,Gil Vicente,Portugalia,Liga Portugal,flashscore~fuzzy
Francisco Gomes,Napastnik,CS Maritimo,Portugalia,Liga Portugal,flashscore~fuzzy
Rodrigo Andrade,Pomocnik,CS Maritimo,Portugalia,Liga Portugal,flashscore~fuzzy
Nathanael Ogbeta,Obrońca,CS Maritimo,Portugalia,Liga Portugal,sofascore
Rodrigo Borges,Obrońca,CS Maritimo,Portugalia,Liga Portugal,flashscore~fuzzy
Alexandre Parsemain,Napastnik,Moreirense,Portugalia,Liga Portugal,sofascore
Rodrigo Alonso,Pomocnik,Moreirense,Portugalia,Liga Portugal,sofascore
Guilherme Liberato,Pomocnik,Moreirense,Portugalia,Liga Portugal,sofascore
Henrique Sa,Obrońca,Moreirense,Portugalia,Liga Portugal,sofascore
Jesus Ramirez,Napastnik,CD Nacional,Portugalia,Liga Portugal,flashscore~fuzzy
Motez Nourani,Napastnik,CD Nacional,Portugalia,Liga Portugal,sofascore
Pablo Messias Cardozo,Napastnik,CD Nacional,Portugalia,Liga Portugal,sofascore
Martim Gustavo Watts,Napastnik,CD Nacional,Portugalia,Liga Portugal,sofascore
Mateus Jose Iseppe,Pomocnik,CD Nacional,Portugalia,Liga Portugal,flashscore~fuzzy
Daniel De la Cruz,Obrońca,CD Nacional,Portugalia,Liga Portugal,flashscore~fuzzy
Josue Souza,Pomocnik,CD Nacional,Portugalia,Liga Portugal,sofascore
Deivison Souza Brito,Pomocnik,CD Nacional,Portugalia,Liga Portugal,sofascore
Ulisses,Obrońca,CD Nacional,Portugalia,Liga Portugal,sofascore
Ivanildo Fernandes,Obrońca,CD Nacional,Portugalia,Liga Portugal,sofascore
Francisco Goncalves,Obrońca,CD Nacional,Portugalia,Liga Portugal,sofascore
Tamble Monteiro,Napastnik,Rio Ave,Portugalia,Liga Portugal,flashscore~fuzzy
Amine Rehmi,Napastnik,Rio Ave,Portugalia,Liga Portugal,sofascore
Samuel da Silva Alves,Napastnik,Rio Ave,Portugalia,Liga Portugal,sofascore
Brandon Aguilera,Pomocnik,Rio Ave,Portugalia,Liga Portugal,flashscore~fuzzy
Andreas Ndoj,Pomocnik,Rio Ave,Portugalia,Liga Portugal,sofascore
Marios Vrousai,Pomocnik,Rio Ave,Portugalia,Liga Portugal,sofascore
Gustavo Mancha,Obrońca,Rio Ave,Portugalia,Liga Portugal,sofascore
Luis Fernando,Napastnik,Santa Clara,Portugalia,Liga Portugal,sofascore
Rildo,Napastnik,Santa Clara,Portugalia,Liga Portugal,sofascore
Henrique Pereira,Napastnik,Santa Clara,Portugalia,Liga Portugal,sofascore
Joao Costa,Napastnik,Santa Clara,Portugalia,Liga Portugal,sofascore
Daniel Silva,Napastnik,Santa Clara,Portugalia,Liga Portugal,sofascore
Edney Henrique,Pomocnik,Santa Clara,Portugalia,Liga Portugal,sofascore
Joao Vasconcelos,Pomocnik,Santa Clara,Portugalia,Liga Portugal,sofascore
Douglas Borel,Pomocnik,Santa Clara,Portugalia,Liga Portugal,sofascore
Daniel Borges,Pomocnik,Santa Clara,Portugalia,Liga Portugal,sofascore
Miguel Pires,Pomocnik,Santa Clara,Portugalia,Liga Portugal,sofascore
Jose Tavares,Pomocnik,Santa Clara,Portugalia,Liga Portugal,flashscore~fuzzy
Pedro Jesus,Pomocnik,Santa Clara,Portugalia,Liga Portugal,sofascore
Isaac,Pomocnik,Santa Clara,Portugalia,Liga Portugal,sofascore
Matheus Araujo,Obrońca,Santa Clara,Portugalia,Liga Portugal,sofascore
Thauan Lara,Obrońca,Santa Clara,Portugalia,Liga Portugal,sofascore
Guilherme Romao,Obrońca,Santa Clara,Portugalia,Liga Portugal,sofascore
Sarara,Obrońca,Santa Clara,Portugalia,Liga Portugal,sofascore
Alysson Silva,Obrońca,Santa Clara,Portugalia,Liga Portugal,sofascore
Pedro Pacheco,Obrońca,Santa Clara,Portugalia,Liga Portugal,flashscore~fuzzy
Joao Marques,Napastnik,Sporting Braga,Portugalia,Liga Portugal,sofascore
Jean-Baptiste Gorby,Pomocnik,Sporting Braga,Portugalia,Liga Portugal,sofascore
Thiago Helguera,Pomocnik,Sporting Braga,Portugalia,Liga Portugal,sofascore
Gabriel Martinez,Pomocnik,Sporting Braga,Portugalia,Liga Portugal,sofascore
Francisco Chissumba,Pomocnik,Sporting Braga,Portugalia,Liga Portugal,sofascore
Luis Pinto,Pomocnik,Sporting Braga,Portugalia,Liga Portugal,sofascore
Adrian Leon Barisic,Obrońca,Sporting Braga,Portugalia,Liga Portugal,flashscore~fuzzy
Diogo Travassos,Obrońca,Sporting Braga,Portugalia,Liga Portugal,sofascore
Bartlomiej Wdowik,Obrońca,Sporting Braga,Portugalia,Liga Portugal,sofascore
Olamikun Adebisi Timileyin,Obrońca,Sporting Braga,Portugalia,Liga Portugal,sofascore
Rodrigo Silva,Obrońca,Sporting Braga,Portugalia,Liga Portugal,sofascore
Anisio Cabral,Napastnik,Benfica,Portugalia,Liga Portugal,sofascore
Henrique Araujo,Napastnik,Benfica,Portugalia,Liga Portugal,sofascore
Olivio Tome,Napastnik,Benfica,Portugalia,Liga Portugal,sofascore
Francisco Bernardes,Napastnik,Benfica,Portugalia,Liga Portugal,sofascore
Rafael Obrador,Pomocnik,Benfica,Portugalia,Liga Portugal,sofascore
Manu Silva,Pomocnik,Benfica,Portugalia,Liga Portugal,sofascore
Rafael Quintas,Pomocnik,Benfica,Portugalia,Liga Portugal,sofascore
Francisco Neto,Pomocnik,Benfica,Portugalia,Liga Portugal,sofascore
Joao Fonseca,Obrońca,Benfica,Portugalia,Liga Portugal,sofascore
Joao Capucho,Obrońca,Benfica,Portugalia,Liga Portugal,sofascore
Luis Javier Suarez,Napastnik,Sporting CP,Portugalia,Liga Portugal,flashscore~fuzzy
Rodrigo Zalazar,Pomocnik,Sporting CP,Portugalia,Liga Portugal,flashscore~fuzzy
Pedro Goncalves,Pomocnik,Sporting CP,Portugalia,Liga Portugal,sofascore
Sotiris Alexandropoulos,Pomocnik,Sporting CP,Portugalia,Liga Portugal,sofascore
Zaid Bafdili,Pomocnik,Sporting CP,Portugalia,Liga Portugal,sofascore
Koba Koindredi,Pomocnik,Sporting CP,Portugalia,Liga Portugal,sofascore
Rodrigo Rodrigues,Pomocnik,Sporting CP,Portugalia,Liga Portugal,sofascore
Rafael Mota,Obrońca,Sporting CP,Portugalia,Liga Portugal,sofascore
Afonso Lee,Obrońca,Sporting CP,Portugalia,Liga Portugal,sofascore
Gustavo Silva,Napastnik,Vitoria SC,Portugalia,Liga Portugal,sofascore
Vando Felix,Napastnik,Vitoria SC,Portugalia,Liga Portugal,sofascore
Dieu-Merci Michel,Napastnik,Vitoria SC,Portugalia,Liga Portugal,sofascore
Beni Mukendi,Pomocnik,Vitoria SC,Portugalia,Liga Portugal,sofascore
Marco Cruz,Pomocnik,Vitoria SC,Portugalia,Liga Portugal,sofascore
Yeimar Mosquera,Obrońca,Vitoria SC,Portugalia,Liga Portugal,flashscore~fuzzy
Joao Mendes,Obrońca,Vitoria SC,Portugalia,Liga Portugal,flashscore~fuzzy
Miguel Maga,Obrońca,Vitoria SC,Portugalia,Liga Portugal,sofascore
Rodrigo Abascal,Obrońca,Vitoria SC,Portugalia,Liga Portugal,flashscore~fuzzy
Oscar Rivas,Obrońca,Vitoria SC,Portugalia,Liga Portugal,flashscore~fuzzy
Aurelien Guernier,Napastnik,AC Milan,Włochy,Serie A,sofascore
Ismael Bennacer,Pomocnik,AC Milan,Włochy,Serie A,sofascore
Warren Bondo,Pomocnik,AC Milan,Włochy,Serie A,sofascore
Silvano Vos,Pomocnik,AC Milan,Włochy,Serie A,flashscore~fuzzy
Lorenzo Ossola,Pomocnik,AC Milan,Włochy,Serie A,sofascore
Valeri Ivanov Vladimirov,Obrońca,AC Milan,Włochy,Serie A,flashscore~fuzzy
Kevin Martins,Pomocnik,Monza,Włochy,Serie A,sofascore
Manga Foe Ondoa,Pomocnik,Monza,Włochy,Serie A,flashscore~fuzzy
Alessandro Berretta,Pomocnik,Monza,Włochy,Serie A,sofascore
Marco Buonaiuto,Pomocnik,Monza,Włochy,Serie A,sofascore
Mattia Attinasi,Pomocnik,Monza,Włochy,Serie A,sofascore
Lorenzo Colonnese,Obrońca,Monza,Włochy,Serie A,sofascore
Manuel Villa,Obrońca,Monza,Włochy,Serie A,sofascore
Riccardo Sottil,Napastnik,Fiorentina,Włochy,Serie A,sofascore
Federico Croci,Napastnik,Fiorentina,Włochy,Serie A,sofascore
Jacopo Tarantino,Napastnik,Fiorentina,Włochy,Serie A,sofascore
Simon Sohm,Pomocnik,Fiorentina,Włochy,Serie A,sofascore
Brando Mazzeo,Pomocnik,Fiorentina,Włochy,Serie A,sofascore
Mattia Ievoli,Pomocnik,Fiorentina,Włochy,Serie A,sofascore
Antonio Pirro,Pomocnik,Fiorentina,Włochy,Serie A,sofascore
Alex Jimenez,Obrońca,Fiorentina,Włochy,Serie A,sofascore
Matias Moreno,Obrońca,Fiorentina,Włochy,Serie A,sofascore
Nicolas Valentini,Obrońca,Fiorentina,Włochy,Serie A,sofascore
Alessandro Perrotti,Obrońca,Fiorentina,Włochy,Serie A,sofascore
Dennis Beldenti,Obrońca,Fiorentina,Włochy,Serie A,sofascore
Federico Melani,Obrońca,Fiorentina,Włochy,Serie A,sofascore
Luigi Cherubini,Napastnik,AS Roma,Włochy,Serie A,sofascore
Wesley,Pomocnik,AS Roma,Włochy,Serie A,sofascore
Mattia Mannini,Pomocnik,AS Roma,Włochy,Serie A,sofascore
Riccardo Pagano,Pomocnik,AS Roma,Włochy,Serie A,sofascore
Alessandro Di Nunzio,Pomocnik,AS Roma,Włochy,Serie A,sofascore
Francesco Panico,Pomocnik,AS Roma,Włochy,Serie A,sofascore
Anass Salah-Eddine,Obrońca,AS Roma,Włochy,Serie A,sofascore
Marash Kumbulla,Obrońca,AS Roma,Włochy,Serie A,sofascore
Filippo Reale,Obrońca,AS Roma,Włochy,Serie A,sofascore
Vanja Vlahovic,Napastnik,Atalanta,Włochy,Serie A,sofascore
Sulemana,Pomocnik,Atalanta,Włochy,Serie A,sofascore
Ljubo Puljic,Obrońca,Atalanta,Włochy,Serie A,sofascore
Giovanni Bonfanti,Obrońca,Atalanta,Włochy,Serie A,sofascore
Matteo Plaia,Obrońca,Atalanta,Włochy,Serie A,sofascore
Jesper Karlsson,Napastnik,Bologna,Włochy,Serie A,sofascore
Gennaro Anatriello,Napastnik,Bologna,Włochy,Serie A,sofascore
Marco Libra,Pomocnik,Bologna,Włochy,Serie A,sofascore
Kwesi Badori,Pomocnik,Bologna,Włochy,Serie A,sofascore
Elia Barbaro,Pomocnik,Bologna,Włochy,Serie A,sofascore
Abdel Rahim,Obrońca,Bologna,Włochy,Serie A,sofascore
Torbjorn Heggem,Obrońca,Bologna,Włochy,Serie A,flashscore~fuzzy
Eivind Helland,Obrońca,Bologna,Włochy,Serie A,flashscore~fuzzy
Lorenzo De Silvestri,Obrońca,Bologna,Włochy,Serie A,sofascore
Ali Jaber,Obrońca,Bologna,Włochy,Serie A,sofascore
Dimitar Papazov,Obrońca,Bologna,Włochy,Serie A,sofascore
Demi Akarakiri,Pomocnik,Cagliari,Włochy,Serie A,sofascore
Ze Pedro,Obrońca,Cagliari,Włochy,Serie A,sofascore
Davide Veroli,Obrońca,Cagliari,Włochy,Serie A,sofascore
Francesco Gallea Beidi,Obrońca,Cagliari,Włochy,Serie A,sofascore
Ivan Azon,Napastnik,Como,Włochy,Serie A,sofascore
Tommaso Fumagalli,Napastnik,Como,Włochy,Serie A,sofascore
Marlon Mustapha,Napastnik,Como,Włochy,Serie A,sofascore
Thomas Diego Altomonte,Napastnik,Como,Włochy,Serie A,sofascore
Ali Jasim,Pomocnik,Como,Włochy,Serie A,sofascore
Luca Mazzitelli,Pomocnik,Como,Włochy,Serie A,sofascore
Matthias Braunoder,Pomocnik,Como,Włochy,Serie A,sofascore
Andrea Le Borgne,Pomocnik,Como,Włochy,Serie A,sofascore
Fabio Rispoli,Pomocnik,Como,Włochy,Serie A,sofascore
Jacopo Simonetta,Pomocnik,Como,Włochy,Serie A,sofascore
Stefan Posch,Obrońca,Como,Włochy,Serie A,sofascore
Marc Kempf,Obrońca,Como,Włochy,Serie A,flashscore~fuzzy
Antonio Raimondo,Napastnik,Frosinone,Włochy,Serie A,sofascore
Alejandro Cichero,Napastnik,Frosinone,Włochy,Serie A,sofascore
Sergio Kalaj,Obrońca,Frosinone,Włochy,Serie A,sofascore
Junior Messias,Napastnik,Genoa,Włochy,Serie A,sofascore
Joi Xheto Nuredini,Napastnik,Genoa,Włochy,Serie A,flashscore~fuzzy
Alessandro Debenedetti,Napastnik,Genoa,Włochy,Serie A,sofascore
Gabriele Pessolani,Napastnik,Genoa,Włochy,Serie A,sofascore
Tommaso Baldanzi,Pomocnik,Genoa,Włochy,Serie A,sofascore
Hugo Cuenca,Pomocnik,Genoa,Włochy,Serie A,flashscore~fuzzy
Alexsandro Amorim,Pomocnik,Genoa,Włochy,Serie A,sofascore
Mikael Ellertsson,Pomocnik,Genoa,Włochy,Serie A,flashscore~fuzzy
Chec Bebel Doumbia,Pomocnik,Genoa,Włochy,Serie A,sofascore
Matteo Gibertini,Pomocnik,Genoa,Włochy,Serie A,sofascore
Alan Matturro,Obrońca,Genoa,Włochy,Serie A,sofascore
Lukas Klisys,Obrońca,Genoa,Włochy,Serie A,sofascore
Jamal Iddrissou,Napastnik,Inter,Włochy,Serie A,sofascore
Kristjan Asllani,Pomocnik,Inter,Włochy,Serie A,sofascore
Yanis Massolin,Pomocnik,Inter,Włochy,Serie A,sofascore
Mattia Marello,Obrońca,Inter,Włochy,Serie A,sofascore
Leonardo Bovio,Obrońca,Inter,Włochy,Serie A,sofascore
Naja Mihelic,Obrońca,Inter,Włochy,Serie A,sofascore
Adin Licina,Napastnik,Juventus,Włochy,Serie A,sofascore
Justin Oboavwoduo,Napastnik,Juventus,Włochy,Serie A,sofascore
Arman Durmisi,Napastnik,Juventus,Włochy,Serie A,sofascore
Nicolas Gonzalez,Pomocnik,Juventus,Włochy,Serie A,sofascore
Arthur,Pomocnik,Juventus,Włochy,Serie A,sofascore
Augusto Owusu,Pomocnik,Juventus,Włochy,Serie A,sofascore
Shane van Aarle,Obrońca,Juventus,Włochy,Serie A,sofascore
Sana Fernandes,Napastnik,Lazio,Włochy,Serie A,sofascore
Gabriele Artistico,Napastnik,Lazio,Włochy,Serie A,sofascore
Federico Serra,Napastnik,Lazio,Włochy,Serie A,sofascore
Romano Floriani Mussolini,Obrońca,Lazio,Włochy,Serie A,flashscore~fuzzy
Leonardo Di Tommaso,Pomocnik,Lazio,Włochy,Serie A,sofascore
Mohamed Fares,Obrońca,Lazio,Włochy,Serie A,sofascore
Matija Frigan,Napastnik,Parma,Włochy,Serie A,sofascore
Antoine Joujou,Napastnik,Parma,Włochy,Serie A,sofascore
Adrian Bernabe,Pomocnik,Parma,Włochy,Serie A,flashscore~fuzzy
Rachid Kouda,Pomocnik,Parma,Włochy,Serie A,sofascore
Abdou-Salam Konate,Pomocnik,Parma,Włochy,Serie A,sofascore
Botond Balogh,Obrońca,Parma,Włochy,Serie A,sofascore
Peter Amoran,Obrońca,Parma,Włochy,Serie A,sofascore
Luca D'Andrea,Napastnik,Sassuolo,Włochy,Serie A,sofascore
Flavio Russo,Napastnik,Sassuolo,Włochy,Serie A,sofascore
Patrick Amiamo Nuamah,Napastnik,Sassuolo,Włochy,Serie A,flashscore~fuzzy
Justin Kumi,Pomocnik,Sassuolo,Włochy,Serie A,sofascore
Fabrizio Caligara,Pomocnik,Sassuolo,Włochy,Serie A,sofascore
Fali Cande,Obrońca,Sassuolo,Włochy,Serie A,sofascore
Edoardo Pieragnolo,Obrońca,Sassuolo,Włochy,Serie A,sofascore
Francesco Corradini,Obrońca,Sassuolo,Włochy,Serie A,sofascore
Alessandro Di Bitonto,Obrońca,Sassuolo,Włochy,Serie A,sofascore
Noa Lang,Napastnik,SSC Napoli,Włochy,Serie A,sofascore
David Neres,Napastnik,SSC Napoli,Włochy,Serie A,sofascore
Cyril Ngonge,Napastnik,SSC Napoli,Włochy,Serie A,sofascore
Lorenzo Sgarbi,Napastnik,SSC Napoli,Włochy,Serie A,sofascore
Antonio Cioffi,Napastnik,SSC Napoli,Włochy,Serie A,sofascore
Milton Pereyra,Napastnik,SSC Napoli,Włochy,Serie A,sofascore
Gianluca Vigliotti,Napastnik,SSC Napoli,Włochy,Serie A,sofascore
Jens-Lys Cajuste,Pomocnik,SSC Napoli,Włochy,Serie A,sofascore
Coli Saco,Pomocnik,SSC Napoli,Włochy,Serie A,sofascore
Gennaro Iaccarino,Pomocnik,SSC Napoli,Włochy,Serie A,sofascore
Lorenzo Russo,Pomocnik,SSC Napoli,Włochy,Serie A,sofascore
Nosa Edward Obaretin,Obrońca,SSC Napoli,Włochy,Serie A,flashscore~fuzzy
Luigi D'Avino,Obrońca,SSC Napoli,Włochy,Serie A,sofascore
Pietro Pellegri,Napastnik,Torino,Włochy,Serie A,sofascore
Cristian Padula,Napastnik,Torino,Włochy,Serie A,sofascore
Tino Anjorin,Pomocnik,Torino,Włochy,Serie A,sofascore
Alessio Cacciamani,Pomocnik,Torino,Włochy,Serie A,sofascore
Aaron Ciammaglichella,Pomocnik,Torino,Włochy,Serie A,sofascore
Andrea Luongo,Pomocnik,Torino,Włochy,Serie A,sofascore
Zalan Kugyela,Pomocnik,Torino,Włochy,Serie A,sofascore
Marco Dalla Vecchia,Pomocnik,Torino,Włochy,Serie A,sofascore
Tommaso Di Marco,Pomocnik,Torino,Włochy,Serie A,sofascore
Alessandro Dellavalle,Obrońca,Torino,Włochy,Serie A,sofascore
Manuel Carrascosa,Obrońca,Torino,Włochy,Serie A,sofascore
Martin Payero,Pomocnik,Udinese,Włochy,Serie A,sofascore
Rui Modesto,Pomocnik,Udinese,Włochy,Serie A,sofascore
Leonardo Buta,Obrońca,Udinese,Włochy,Serie A,sofascore
N'Dri Konan,Napastnik,Lecce,Włochy,Serie A,sofascore
Milos Jovic,Napastnik,Lecce,Włochy,Serie A,sofascore
Divine Onyemachi,Napastnik,Lecce,Włochy,Serie A,sofascore
Medon Berisha,Pomocnik,Lecce,Włochy,Serie A,sofascore
Mohamed Kaba,Pomocnik,Lecce,Włochy,Serie A,sofascore
Ed McJannet,Pomocnik,Lecce,Włochy,Serie A,sofascore
Christ-Owen Kouassi,Obrońca,Lecce,Włochy,Serie A,sofascore
Sebastian Esposito,Obrońca,Lecce,Włochy,Serie A,sofascore
Vernon Addo,Obrońca,Lecce,Włochy,Serie A,sofascore
Antonio Casas,Napastnik,Venezia,Włochy,Serie A,flashscore~fuzzy
Alvin Obinna Okoro,Pomocnik,Venezia,Włochy,Serie A,flashscore~fuzzy
Mohamed Malang Toure,Napastnik,Venezia,Włochy,Serie A,sofascore
Saad El Haddad,Pomocnik,Venezia,Włochy,Serie A,sofascore
Simone Panada,Pomocnik,Venezia,Włochy,Serie A,sofascore
Edoardo Mariani,Pomocnik,Venezia,Włochy,Serie A,sofascore
Simone Ascione,Pomocnik,Venezia,Włochy,Serie A,sofascore
Federico Tavernaro,Pomocnik,Venezia,Włochy,Serie A,sofascore
Nicolo Berengo,Pomocnik,Venezia,Włochy,Serie A,sofascore
Thierry Correia,Obrońca,Venezia,Włochy,Serie A,sofascore
Junior Ligue,Obrońca,Venezia,Włochy,Serie A,sofascore
Giorgio Altare,Obrońca,Venezia,Włochy,Serie A,sofascore
Franck Ahmed Sidibe,Obrońca,Venezia,Włochy,Serie A,flashscore~fuzzy
